cusip,issueDate,securityType,securityTerm,maturityDate,interestRate,refCpiOnIssueDate,refCpiOnDatedDate,announcementDate,auctionDate,auctionDateYear,datedDate,accruedInterestPer1000,accruedInterestPer100,adjustedAccruedInterestPer1000,adjustedPrice,allocationPercentage,allocationPercentageDecimals,announcedCusip,auctionFormat,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,averageMedianDiscountMargin,averageMedianYield,backDated,backDatedDate,bidToCoverRatio,callDate,callable,calledDate,cashManagementBillCMB,closingTimeCompetitive,closingTimeNoncompetitive,competitiveAccepted,competitiveBidDecimals,competitiveTendered,competitiveTendersAccepted,corpusCusip,cpiBaseReferencePeriod,currentlyOutstanding,directBidderAccepted,directBidderTendered,estimatedAmountOfPubliclyHeldMaturingSecuritiesByType,fimaIncluded,fimaNoncompetitiveAccepted,fimaNoncompetitiveTendered,firstInterestPeriod,firstInterestPaymentDate,floatingRate,frnIndexDeterminationDate,frnIndexDeterminationRate,highDiscountRate,highInvestmentRate,highPrice,highDiscountMargin,highYield,indexRatioOnIssueDate,indirectBidderAccepted,indirectBidderTendered,interestPaymentFrequency,lowDiscountRate,lowInvestmentRate,lowPrice,lowDiscountMargin,lowYield,maturingDate,maximumCompetitiveAward,maximumNoncompetitiveAward,maximumSingleBid,minimumBidAmount,minimumStripAmount,minimumToIssue,multiplesToBid,multiplesToIssue,nlpExclusionAmount,nlpReportingThreshold,noncompetitiveAccepted,noncompetitiveTendersAccepted,offeringAmount,originalCusip,originalDatedDate,originalIssueDate,originalSecurityTerm,pdfFilenameAnnouncement,pdfFilenameCompetitiveResults,pdfFilenameNoncompetitiveResults,pdfFilenameSpecialAnnouncement,pricePer100,primaryDealerAccepted,primaryDealerTendered,reopening,securityTermDayMonth,securityTermWeekYear,series,somaAccepted,somaHoldings,somaIncluded,somaTendered,spread,standardInterestPaymentPer1000,strippable,term,tiinConversionFactorPer1000,tips,totalAccepted,totalTendered,treasuryRetailAccepted,treasuryRetailTendersAccepted,type,unadjustedAccruedInterestPer1000,unadjustedPrice,updatedTimestamp,xmlFilenameAnnouncement,xmlFilenameCompetitiveResults,xmlFilenameSpecialAnnouncement,tintCusip1,tintCusip2,tintCusip1DueDate,tintCusip2DueDate
912797UW5,2026-05-05T00:00:00,Bill,17-Week,2026-09-01T00:00:00,,,,2026-04-28T00:00:00,2026-04-29T00:00:00,2026,,,,,,41.150000,2,,Single-Price,3.600000,,,,,,,2.780000,,,,No,11:30 AM,11:00 AM,68463194000,3,191315614000,Yes,,,,3938575000,5718000000,238514000000,Yes,0,0,,,No,,,3.620000,3.715000,98.803389,,,,30160831500,46052614000,None,3.400000,,,,,2026-05-05T00:00:00,24150000000,10000000,24150000000,100,,100,100,100,0,24150000000,537732300,Yes,69000000000,,,,17-Week,A_20260428_1.pdf,R_20260429_1.pdf,NCR_20260429_1.pdf,,98.803389,34363787500,139545000000,No,119-Day,17-Week,,1974495900,6410000000,No,1974495900,,,,17-Week,,No,70975422200,193827842200,393135500,Yes,Bill,,,2026-04-29T11:34:02,A_20260428_1.xml,R_20260429_1.xml,,,,,
91282CQM6,2026-04-30T00:00:00,Note,2-Year,2028-04-30T00:00:00,,,,2026-04-23T00:00:00,2026-04-28T00:00:00,2026,2026-04-30T00:00:00,,,,,10.510000,2,,Single-Price,,,,0.094000,,No,,3.520000,,No,,No,11:30 AM,11:00 AM,29968630000,3,105646800000,Yes,,,,0,0,229920000000,Yes,0,0,Normal,2026-07-31T00:00:00,Yes,2026-04-20T00:00:00,3.610000,,,100.000000,0.103000,,,19693020000,34626800000,Quarterly,,,,0.040000,,2026-04-30T00:00:00,10500000000,10000000,10500000000,100,,100,100,100,0,10500000000,31520200,Yes,30000000000,,,,2-Year,A_20260423_2.pdf,R_20260428_1.pdf,NCR_20260428_1.pdf,,100.000000,10275610000,71020000000,No,0-Month,2-Year,BB-2028,3775715600,31716000000,No,3775715600,0.1030,,No,2-Year,,No,33775865800,109454035800,12739200,Yes,FRN,,,2026-04-28T11:33:07,A_20260423_2.xml,R_20260428_1.xml,,,,,
91282CQN4,2026-04-30T00:00:00,Note,7-Year,2033-04-30T00:00:00,4.125000,,,2026-04-23T00:00:00,2026-04-28T00:00:00,2026,2026-04-30T00:00:00,,,,,1.890000,2,,Single-Price,,,,,4.120000,No,,2.510000,,No,,No,01:00 PM,12:00 PM,43911881800,3,110488273000,Yes,912821UH6,,,13177650000,15867900000,229920000000,Yes,0,0,Normal,2026-10-31T00:00:00,No,,,,,99.699199,,4.1750,,25623768000,33926373000,Semi-Annual,,,,,2.880000,2026-04-30T00:00:00,15400000000,10000000,15400000000,100,100,100,100,100,0,15400000000,88173900,Yes,44000000000,,,,7-Year,A_20260423_6.pdf,R_20260428_3.pdf,NCR_20260428_3.pdf,,99.699199,5110463800,60694000000,No,0-Month,7-Year,K-2033,5537716000,31716000000,No,5537716000,,20.6250,Yes,7-Year,,No,49537771700,116114162900,44137900,Yes,Note,,,2026-04-28T13:03:59,A_20260423_6.xml,R_20260428_3.xml,,912834ZW1,,2033-04-30T00:00:00,
91282CQL8,2026-04-30T00:00:00,Note,2-Year,2028-04-30T00:00:00,3.750000,,,2026-04-23T00:00:00,2026-04-27T00:00:00,2026,2026-04-30T00:00:00,,,,,4.280000,2,,Single-Price,,,,,3.750000,No,,2.650000,,No,,No,11:30 AM,11:00 AM,68334730100,3,182422740000,Yes,912821UF0,,,21626470100,26499000000,229920000000,Yes,200000000,200000000,Normal,2026-10-31T00:00:00,No,,,,,99.881691,,3.8120,,38597840000,54422740000,Semi-Annual,,,,,2.880000,2026-04-30T00:00:00,24150000000,10000000,24150000000,100,100,100,100,100,0,24150000000,465345300,Yes,69000000000,,,,2-Year,A_20260423_1.pdf,R_20260427_1.pdf,NCR_20260427_2.pdf,"SPL_20260423_1.pdf, SPL_20260423_2.pdf",99.881691,8110420000,101501000000,No,0-Month,2-Year,BA-2028,8684145700,31716000000,No,8684145700,,18.7500,Yes,2-Year,,No,77684221100,191772231000,247171300,Yes,Note,,,2026-04-27T11:34:00,A_20260423_1.xml,R_20260427_1.xml,,,,,
91282CQK0,2026-04-30T00:00:00,Note,5-Year,2031-04-30T00:00:00,3.875000,,,2026-04-23T00:00:00,2026-04-27T00:00:00,2026,2026-04-30T00:00:00,,,,,61.040000,2,,Single-Price,,,,,3.902000,No,,2.330000,,No,,No,01:00 PM,12:00 PM,69875552600,3,162951063000,Yes,912821UG8,,,10499000000,12854000000,229920000000,Yes,0,0,Normal,2026-10-31T00:00:00,No,,,,,99.640273,,3.9550,,50513063000,59861063000,Semi-Annual,,,,,3.840000,2026-04-30T00:00:00,24500000000,10000000,24500000000,100,100,100,100,100,0,24500000000,124455100,Yes,70000000000,,,,5-Year,A_20260423_4.pdf,R_20260427_4.pdf,NCR_20260427_4.pdf,SPL_20260423_1.pdf,99.640273,8863489600,90236000000,No,0-Month,5-Year,Y-2031,8810002900,31716000000,No,8810002900,,19.3750,Yes,5-Year,,No,78810010600,171885521000,35046100,Yes,Note,,,2026-04-27T13:04:02,A_20260423_4.xml,R_20260427_4.xml,,,,,
91282CQP9,2026-04-30T00:00:00,Note,5-Year,2031-04-15T00:00:00,1.250000,326.733900,325.967400,2026-04-16T00:00:00,2026-04-23T00:00:00,2026,2026-04-15T00:00:00,,,0.5135000000,99.6742200000,32.090000,2,,Single-Price,,,,,1.305000,Yes,2026-04-15T00:00:00,2.570000,,No,,No,01:00 PM,12:00 PM,25815479000,3,66625124000,Yes,912821UE3,1982-1984=100,,6948000000,8601000000,229920000000,Yes,0,0,Normal,2026-10-15T00:00:00,No,,,,,99.674220,,1.3670,1.002350,16678889000,24127624000,Semi-Annual,,,,,1.265000,2026-04-30T00:00:00,9100000000,10000000,9100000000,100,100,100,100,100,0,9100000000,184527300,Yes,26000000000,,,,5-Year,A_20260416_1.pdf,R_20260423_3.pdf,NCR_20260423_3.pdf,,99.674220,2188590000,33896500000,No,0-Month,5-Year,X-2031,3272286700,31716000000,No,3272286700,,,Yes,5-Year,1.9173696510,Yes,29272293000,70081938000,34568300,Yes,TIPS,0.512300,99.440535,2026-04-23T13:04:16,A_20260416_1.xml,R_20260423_3.xml,,,,,
912797UV7,2026-04-28T00:00:00,Bill,17-Week,2026-08-25T00:00:00,,,,2026-04-21T00:00:00,2026-04-22T00:00:00,2026,,,,,,21.640000,2,,Single-Price,3.595000,,,,,,,3.020000,,,,No,11:30 AM,11:00 AM,67798810200,3,207106975000,Yes,,,,4143280000,6450000000,248797000000,Yes,600000000,600000000,,,No,,,3.610000,3.704000,98.806694,,,,35770398200,59371975000,None,3.500000,,,,,2026-04-28T00:00:00,24150000000,10000000,24150000000,100,,100,100,100,0,24150000000,601430500,Yes,69000000000,,,,17-Week,A_20260421_2.pdf,R_20260422_1.pdf,NCR_20260422_1.pdf,,98.806694,27885132000,141285000000,No,119-Day,17-Week,,917984300,2980000000,No,917984300,,,,17-Week,,No,69918225000,209226389800,431888400,Yes,Bill,,,2026-04-22T11:34:14,A_20260421_2.xml,R_20260422_1.xml,,,,,
912797UL9,2026-04-23T00:00:00,Bill,26-Week,2026-10-22T00:00:00,,,,2026-04-16T00:00:00,2026-04-20T00:00:00,2026,,,,,,91.110000,2,,Single-Price,3.560000,,,,,,,2.890000,,,,No,11:30 AM,11:00 AM,74607694000,3,219773526000,Yes,,,,8063777500,10616000000,250689000000,Yes,800000000,800000000,,,No,,,3.590000,3.707000,98.185056,,,,42181156500,54302526000,None,3.300000,,,,,2026-04-23T00:00:00,26950000000,10000000,26950000000,100,,100,100,100,0,26950000000,1592591800,Yes,77000000000,,,,26-Week,A_20260416_2.pdf,R_20260420_2.pdf,NCR_20260420_1.pdf,,98.185056,24362760000,154855000000,No,182-Day,26-Week,,5536308300,16968000000,No,5536308300,,,,26-Week,,No,82536594100,227702426100,819261500,Yes,Bill,,,2026-04-20T11:34:04,A_20260416_2.xml,R_20260420_2.xml,,,,,
912797UU9,2026-04-21T00:00:00,Bill,17-Week,2026-08-18T00:00:00,,,,2026-04-14T00:00:00,2026-04-15T00:00:00,2026,,,,,,11.830000,2,,Single-Price,3.610000,,,,,,,2.930000,,,,No,11:30 AM,11:00 AM,66515422700,3,200001254000,Yes,,,,3464787500,6175000000,253498000000,Yes,2000000000,2000000000,,,No,,,3.625000,3.720000,98.801736,,,,35078415200,47521254000,None,3.400000,,,,,2026-04-21T00:00:00,24150000000,10000000,24150000000,100,,100,100,100,0,24150000000,484625700,Yes,69000000000,,,,17-Week,A_20260414_2.pdf,R_20260415_1.pdf,NCR_20260415_1.pdf,,98.801736,27972220000,146305000000,No,119-Day,17-Week,,495822100,1610000000,No,495822100,,,,17-Week,,No,69495870500,202981701800,329302700,Yes,Bill,,,2026-04-15T11:34:15,A_20260414_2.xml,R_20260415_1.xml,,,,,
912797UE5,2026-04-16T00:00:00,Bill,52-Week,2027-04-15T00:00:00,,,,2026-04-09T00:00:00,2026-04-14T00:00:00,2026,,,,,,62.430000,2,,Single-Price,3.510000,,,,,,,3.210000,,,,No,11:30 AM,11:00 AM,48981167000,3,159468039000,Yes,,,,2541850500,3895000000,300370000000,Yes,0,0,,,No,,,3.560000,3.710000,96.400444,,,,27314689000,49393039000,None,3.300000,,,,,2026-04-16T00:00:00,17500000000,10000000,17500000000,100,,100,100,100,0,17500000000,1018950300,Yes,50000000000,,,,52-Week,A_20260409_3.pdf,R_20260414_1.pdf,NCR_20260414_1.pdf,,96.400444,19124627500,106180000000,No,364-Day,52-Week,,1974459100,11294000000,No,1974459100,,,,52-Week,,No,51974576400,162461448400,477675300,Yes,Bill,,,2026-04-14T11:34:13,A_20260409_3.xml,R_20260414_1.xml,,,,,
