,date,index
0,2022-08,36.81592039800995
1,2022-09,36.81592039800995
2,2022-10,64.42786069651741
3,2022-11,36.81592039800995
4,2022-12,92.03980099502486
5,2023-01,82.8358208955224
6,2023-02,46.01990049751243
7,2023-03,128.85572139303483
8,2023-04,64.42786069651741
9,2023-05,64.42786069651741
10,2023-06,36.81592039800995
11,2023-07,82.8358208955224
12,2023-08,55.223880597014926
13,2023-09,18.407960199004975
14,2023-10,46.01990049751243
15,2023-11,55.223880597014926
16,2023-12,64.42786069651741
17,2024-01,64.42786069651741
18,2024-02,18.407960199004975
19,2024-03,46.01990049751243
20,2024-04,27.611940298507463
21,2024-05,64.42786069651741
22,2024-06,46.01990049751243
23,2024-07,64.42786069651741
24,2024-08,27.611940298507463
25,2024-09,110.44776119402985
26,2024-10,46.01990049751243
27,2024-11,165.6716417910448
28,2024-12,82.8358208955224
29,2025-01,92.03980099502486
30,2025-02,138.0597014925373
31,2025-03,303.7313432835821
32,2025-04,432.5870646766169
33,2025-05,368.15920398009945
34,2025-06,165.6716417910448
35,2025-07,285.3233830845771
36,2025-08,138.0597014925373
